aname,bname
急性胃扩张,胃部检查
急性胃扩张,胃液蛋白酶
酒精性肝硬化,血常规
酒精性肝硬化,内镜检查
酒精性肝硬化,肝、胆、脾CT检查
酒精性肝硬化,血清γ-谷氨酰转肽酶同工酶
酒精性肝硬化,血清纤维结合蛋白
酒精性肝硬化,靛氰绿潴留试验
酒精性肝硬化,血清γ-谷氨酰转肽酶同工酶（iso-r-GTP）
溶血性黄疸,直接胆红素/间接胆红素比值
溶血性黄疸,粪胆原
溶血性黄疸,尿胆原
溶血性黄疸,血浆肝素含量测定
溶血性黄疸,粪胆素
溶血性黄疸,黄疸检查
溶血性黄疸,葡萄糖-6-磷酸脱氢酶缺乏症筛查
溶血性黄疸,反映肝脏排泄功能的试验
溶血性黄疸,血浆组织纤溶酶原活化物抑制物活性检测
溶血性黄疸,直接胆红素与总胆红素比值
角膜炎,真菌培养检查
角膜炎,免疫学检测
角膜炎,眼科检查
角膜炎,眼标本的细菌学检查
角膜炎,泪液β2-微球蛋白
角膜炎,小儿角膜检查法
代谢性碱中毒,大生化检查
代谢性碱中毒,血液电解质检查
代谢性碱中毒,胃钡餐造影
代谢性碱中毒,上消化道X线钡餐
代谢性碱中毒,血液酸碱度（pH）
代谢性碱中毒,实际碳酸氢根
代谢性碱中毒,缓冲碱(BB)
代谢性碱中毒,碱剩余
代谢性碱中毒,尿酸碱度（pH）
代谢性碱中毒,HCO3-重吸收试验
骨质疏松,血清钙
骨质疏松,维生素D
骨质疏松,外科检查
过敏性皮炎,免疫病理检查
过敏性皮炎,皮肤试验
过敏性皮炎,过敏原检测仪
过敏性皮炎,细菌对抗生素敏感试验
剥脱性皮炎,浆细胞
剥脱性皮炎,涂片
剥脱性皮炎,免疫病理检查
剥脱性皮炎,皮损
剥脱性皮炎,细胞组织化学染色
缺铁性贫血,胃镜
缺铁性贫血,可溶性转铁蛋白受体测定
缺铁性贫血,血清转铁蛋白
缺铁性贫血,平均红细胞血红蛋白含量(MCH)
缺铁性贫血,转铁蛋白饱和度
缺铁性贫血,血清铁饱和度
缺铁性贫血,血清运铁蛋白（Tf）
缺铁性贫血,血清运铁蛋白
缺铁性贫血,全血铁
缺铁性贫血,红细胞压积(HCT)
脱发,必需微量元素检测
脱发,头皮检查
隐睾,阴囊超声检查
巨舌,"血清白蛋白（ALB,A）"
巨舌,舌咽神经检查
巨舌,口腔内窥镜
巨舌,口腔X光片检查
口炎,血常规
口炎,尿常规
口炎,体温测量
口炎,细菌学检验
肺不张,胸部平片
肺不张,支气管造影
肺不张,深吸气量（IC）
肺不张,痰液细菌培养
肺不张,通气贮量比
肺不张,每分钟静息通气量（VE）
肺不张,心血管造影
肺不张,胸腔积液检查
肺不张,"肺内分流量（Qsp,Qs/Qt）"
肺不张,每分钟肺泡通气量（VA）
球后视神经炎,视力
球后视神经炎,视野检查
球后视神经炎,眼及眶区CT检查
球后视神经炎,裂隙灯
肠系膜囊肿,腹部CT
肠系膜囊肿,腹部平片
肠系膜囊肿,腹部血管超声检查
肠系膜囊肿,腹腔镜
肠系膜囊肿,十二指肠钡餐造影
胆汁性肝硬化,尿常规
胆汁性肝硬化,类风湿因子
胆汁性肝硬化,直接胆红素
胆汁性肝硬化,经皮经肝胆道造影术
胆汁性肝硬化,粪胆原
胆汁性肝硬化,抗平滑肌抗体
胆汁性肝硬化,抗线粒体抗体
胆汁性肝硬化,血清碱性磷酸酶
胆汁性肝硬化,抗线粒体抗体（AMA）
胆汁性肝硬化,抗乙酸胆碱受体抗体（anti-AchR）
小肠损伤,CT检查
小肠损伤,腹部CT
小肠损伤,血液检查
小肠损伤,血管造影
小肠损伤,体位
小肠损伤,腹部平片
小肠损伤,腹腔穿刺
小肠损伤,浊度
眼球震颤,眼底检查
眼球震颤,眼科检查
眼球震颤,眼底镜检查法
脑积水,颅脑CT检查
脑积水,颅脑超声检查
脑积水,胎儿畸形筛查
脑积水,颅脑MRI检查
脑积水,脑脊液结合型髓鞘碱性蛋白抗体
脑积水,头颅平片
脑积水,孕尿雌三醇测定（E3）
脑积水,脑脊液精氨酸加压素
肠道血管畸形,造影检查
肠道血管畸形,血管造影
肠道血管畸形,肠镜
肠道血管畸形,内镜检查
肠道血管畸形,胃镜
肠道血管畸形,剖腹探查
鼻出血,血常规
鼻出血,前鼻镜检查
鼻出血,毛细血管脆性试验
鼻出血,出血时间
鼻出血,后鼻镜检查
流产,羊水与尿液鉴别试验
流产,妇科超声检查
流产,孕激素
闭经,脱落细胞检查
闭经,尿孕酮(P)
闭经,孕激素
闭经,促甲状腺受体抗体
闭经,雌酮(E1)
闭经,促卵泡激素（FSH）
瘫痪,血常规
瘫痪,心电图
瘫痪,颅脑CT检查
瘫痪,颅脑MRI检查
瘫痪,巴彬斯基征
瘫痪,颅底片
瘫痪,床旁摄片
颅内出血,心电图
颅内出血,脉搏
颅内出血,颅脑CT检查
颅内出血,颅脑MRI检查
直肠重复畸形,肠镜
直肠重复畸形,腹部透视
直肠重复畸形,直肠指检
血脂异常,甘油三酯
血脂异常,血脂检查
血脂异常,高密度脂蛋白胆固醇
血脂异常,胆固醇酯与总胆固醇比值
甲状旁腺功能亢进,CT检查
甲状旁腺功能亢进,血管造影
甲状旁腺功能亢进,甲状腺、甲状旁腺的超声检查
甲状旁腺功能亢进,颈部MRI检查
甲状旁腺功能亢进,尿环磷酸鸟苷
甲状旁腺功能亢进,尿氯
甲状旁腺功能亢进,甲状旁腺激素（PTH）试验
甲状旁腺功能亢进,尿磷
甲状旁腺功能亢进,尿钙定性试验
低钾血症,心电图
低钾血症,尿钾
低钾血症,阴离子间隙（AG）
低钠血症,心电图
低钠血症,颅脑CT检查
低钠血症,血清钠
遗尿,尿常规
遗尿,脑电图检查
遗尿,泌尿系统CT检查
小儿遗尿,血常规
小儿遗尿,尿常规
小儿遗尿,神经系统检查
小儿遗尿,便常规
小儿遗尿,腹部平片
小儿遗尿,静脉尿路造影
小儿遗尿,脊椎平片
小儿遗尿,脊柱椎体平扫
肾病综合征,尿常规
肾病综合征,血清蛋白电泳
肾病综合征,β-N-乙酰氨基葡萄糖苷酶
肾病综合征,氨基酸的检查
肾病综合征,血清总脂
肾病综合征,尿醛固酮
肾病综合征,血清前白蛋白
肾病综合征,血清已糖
肾病综合征,α1-抗胰蛋白酶
肾病综合征,尿蛋白定量
肾结石,尿液颜色
肾结石,膀胱镜
肾结石,静脉尿路造影
肾结石,逆行肾盂造影
肾结石,肾图检查
肾结石,尿液颜色（UCO）
肾结石,膀胱叩诊
肾结石,血清无机磷
肾结石,尿沉渣结晶检查
肾结石,尿结晶
口腔溃疡,口腔内窥镜
口腔溃疡,唾液溶菌酶
口腔溃疡,"维生素B2（VitB2,VB2）"
前列腺增生,尿常规
前列腺增生,膀胱镜
前列腺增生,尿素氮
前列腺增生,前列腺B超检查
前列腺增生,男性生殖系X线检查
前列腺增生,膀胱残余尿量测定
前列腺增生,血PSA检查
前列腺增生,精液酸性磷酸酶
前列腺增生,前列腺检查
前列腺增生,血清酸性磷酸酶（ACP）
尿失禁,尿常规
尿失禁,肾功能检查
尿失禁,肌电图
尿失禁,膀胱镜
尿失禁,膀胱颈抬高试验
尿潴留,膀胱叩诊
尿潴留,膀胱触诊
尿潴留,膀胱残余尿量测定
慢性肾功能不全,血液生化六项检查
慢性肾功能不全,核磁共振成像(MRI)
慢性肾功能不全,肾脏CT检查
慢性肾功能不全,血小板计数（PLT）
慢性肾功能不全,肾血流量（RPF）
慢性肾功能不全,尿透明度
慢性肾功能不全,降钙素
慢性肾功能不全,胍基化合物
慢性肾功能不全,尿液透明度（UCI）
膀胱结核,CT检查
膀胱结核,膀胱镜
继发性高血压,血常规
继发性高血压,肾脏CT检查
继发性高血压,烟碱
肾脓肿,血常规
肾脓肿,CT检查
肾脓肿,尿常规
肾脓肿,肾脏超声检查
低钙血症,CT检查
低钙血症,肾功能检查
低钙血症,心电图
低钙血症,血清钙
低钙血症,阴离子间隙（AG）
低钙血症,"尿钙(Ca2+,Ca)"
低钙血症,甲状旁腺激素（PTH）试验
低钙血症,血磷脂（PL）
低钙血症,"白蛋白(A,Alb)"
痴呆,脑电图检查
痴呆,脑蛋白质代谢显像
痴呆,133Xe脑血流测定及显像
烟酸缺乏,心电图
烟酸缺乏,尿液分析
烟酸缺乏,胃液总量
烟酸缺乏,尿N＇-甲基烟酰胺
烟酸缺乏,烟酸(Niacin)
睡眠障碍,血常规
睡眠障碍,心电图
睡眠障碍,血液电解质检查
睡眠障碍,多导睡眠图检查
睡眠障碍,多导睡眠监测（PSG）
脑脓肿,血常规
脑脓肿,尿常规
脑脓肿,神经系统检查
脑脓肿,颅脑CT检查
脑脓肿,颅脑MRI检查
脑脓肿,脑脊液一般性状检查
